Chipotle,Marylebone,6481,Baker Street,"101-103 Baker St, Marylebone, London W1U 6LN",N,N,6/2/2020,"Chipotle, Marylebone, 101-103 Baker St, Marylebone, London W1U 6LN, London, UK",51.5207856,-0.1571898
Pret,Marylebone,1289,Baker Street,"18-20 Baker St, Marylebone, London W1U 3BY",Y but requires RADAR key,Y,8/2/2020,"Pret, Marylebone, 18-20 Baker St, Marylebone, London W1U 3BY, London, UK",51.5173458,-0.155171
Pret,Cheapside (right next to the station),2020,Bank and Mansion House,"90 Queen St, London EC4N 1SA",?,Y,30/01/2020,"Pret, Cheapside (right next to the station), 90 Queen St, London EC4N 1SA, London, UK",51.5134161,-0.0922043
Starbucks,Eastcheap,No code,Bank and Monument,"Unit A, 48 Gracechurch St, Bridge, London EC3V 0EJ",Y,Y,15/03/2020,"Starbucks, Eastcheap, Unit A, 48 Gracechurch St, Bridge, London EC3V 0EJ, London, UK",51.510831,-0.085434
Pret,"London Bridge, North Side","No code, sign on the door saying ""These toilet facilities are for customer use only""",Bank and Monument,"43 King William Street, EC4R 9AN",Y,Y,21/01/2020,"Pret, London Bridge, North Side, 43 King William Street, EC4R 9AN, London, UK",51.5097667,-0.0867861
Marks and Spencer,Marble Arch,No code,Bond Street,"58 Oxford St, Marylebone, London W1C 1AP",Y,N,24/02/2020,"Marks and Spencer, Marble Arch, 58 Oxford St, Marylebone, London W1C 1AP, London, UK",51.5140685,-0.1540799
Pret,Fetter Lane,8541,Chancery Lane,EC4A 1ES,?,?,17/01/2020,"Pret, Fetter Lane, EC4A 1ES, London, UK",51.5159124,-0.1093915
Tossed,corner of Theobalds and grays inn road,No code (but they do lock it when it's quiet),Chancery Lane,EC1R 5DB,Y,Y,21/01/2020,"Tossed, corner of Theobalds and grays inn road, EC1R 5DB, London, UK",51.5215261,-0.1133183
Waterstones,Trafalgar Square,C1470Z,Charing Cross,WC2N 5EJ,Y - they're on the first floor but there is a lift,Y,13/03/2020,"Waterstones, Trafalgar Square, WC2N 5EJ, London, UK",51.5113889,-0.1261111
Pret,"Corner of Strand and Waterloo Bridge, near Somerset House",5523,Charing Cross,"135 Strand, London WC2R 0AP",N,Y,5/3/2020,"Pret, Corner of Strand and Waterloo Bridge, near Somerset House, 135 Strand, London WC2R 0AP, London, UK",51.5085988,-0.1168561
Itsu,Strand,C8231Y,Charing Cross,"32-33 Strand, Charing Cross, London WC2N 5HY",Y,Y,8/2/2020,"Itsu, Strand, 32-33 Strand, Charing Cross, London WC2N 5HY, London, UK",51.5087688,-0.1247236
